BIIB P/E =  9.40 P/B =  4.19 Price = 304.53
BILI P/E =  - P/B =  11.72 Price = 33.04
BIO P/E =  9.05 P/B =  2.46 Price = 472.45
BJRI P/E =  14.20 P/B =  1.37 Price = 19.55
BK P/E =  7.43 P/B =  0.82 Price = 34.50
BKI P/E =  83.30 P/B =  5.75 Price = 74.55
BKNG P/E =  20.76 P/B =  17.50 Price = 1631.30
BKR P/E =  - P/B =  0.55 Price = 15.12
BL P/E =  - P/B =  9.86 Price = 69.50
BLD P/E =  18.47 P/B =  3.10 Price = 110.44
BLDR P/E =  11.53 P/B =  2.68 Price = 19.18
BLK P/E =  19.03 P/B =  2.41 Price = 513.30
BLKB P/E =  155.21 P/B =  7.15 Price = 56.65
BLL P/E =  46.31 P/B =  7.98 Price = 64.51
BLUE P/E =  - P/B =  3.31 Price = 66.78
BMCH P/E =  14.63 P/B =  1.62 Price = 24.25
BMI P/E =  37.03 P/B =  5.29 Price = 61.10
BMRN P/E =  159.85 P/B =  5.41 Price = 97.51
BMY P/E =  75.14 P/B =  2.75 Price = 60.79
BOH P/E =  12.21 P/B =  1.83 Price = 61.07
BOKF P/E =  7.44 P/B =  0.66 Price = 47.43
BOOT P/E =  12.78 P/B =  1.91 Price = 20.94
BPMC P/E =  - P/B =  5.03 Price = 65.18
BR P/E =  32.87 P/B =  11.14 Price = 116.81
BRC P/E =  21.86 P/B =  3.15 Price = 49.07
BRKR P/E =  36.54 P/B =  6.98 Price = 41.47
BRO P/E =  25.03 P/B =  3.01 Price = 38.42
BSX P/E =  11.84 P/B =  3.63 Price = 35.91
BTI P/E =  12.91 P/B =  1.14 Price = 38.84
BUD P/E =  27.71 P/B =  1.06 Price = 40.90
BURL P/E =  29.24 P/B =  25.20 Price = 202.35
BWA P/E =  8.62 P/B =  1.30 Price = 29.84
BWXT P/E =  20.19 P/B =  12.68 Price = 57.05
BXP P/E =  13.29 P/B =  2.07 Price = 78.01
BYND P/E =  - P/B =  21.51 Price = 136.80
BZUN P/E =  39.31 P/B =  4.19 Price = 26.06
C P/E =  6.01 P/B =  0.53 Price = 44.10
CABO P/E =  48.79 P/B =  12.48 Price = 1776.00
CACC P/E =  9.69 P/B =  2.67 Price = 334.84
CAG P/E =  20.82 P/B =  2.05 Price = 32.68
CAH P/E =  - P/B =  13.01 Price = 53.59
CALM P/E =  - P/B =  2.24 Price = 43.77
CARA P/E =  - P/B =  4.80 Price = 16.46
CARG P/E =  67.04 P/B =  10.10 Price = 24.94
CARR P/E =  - P/B =  6.13 Price = 19.05
CARS P/E =  - P/B =  1.16 Price = 6.05
CASY P/E =  24.75 P/B =  3.52 Price = 151.45
CAT P/E =  11.93 P/B =  4.33 Price = 112.47
CB P/E =  14.61 P/B =  1.01 Price = 117.00
CBPO P/E =  27.27 P/B =  2.39 Price = 107.70
CBRE P/E =  10.62 P/B =  2.20 Price = 40.30
CBRL P/E =  11.22 P/B =  3.90 Price = 102.50
CBSH P/E =  18.53 P/B =  2.13 Price = 59.51
CBU P/E =  17.56 P/B =  1.47 Price = 55.92
CCI P/E =  88.35 P/B =  6.42 Price = 156.20
CCK P/E =  16.92 P/B =  5.00 Price = 62.08
CCL P/E =  5.36 P/B =  0.41 Price = 14.46
CCMP P/E =  50.04 P/B =  3.86 Price = 132.95
CDK P/E =  25.12 P/B =  - Price = 38.99
CDNA P/E =  - P/B =  13.24 Price = 31.39
CDNS P/E =  24.29 P/B =  10.91 Price = 86.05
CDW P/E =  20.65 P/B =  16.97 Price = 105.74
CE P/E =  14.07 P/B =  4.16 Price = 85.48
CEA P/E =  11.13 P/B =  0.54 Price = 16.72
CENT P/E =  22.48 P/B =  1.89 Price = 34.50
CENTA P/E =  21.08 P/B =  1.79 Price = 32.53
CERN P/E =  41.81 P/B =  5.39 Price = 67.28
CF P/E =  12.93 P/B =  2.18 Price = 27.59
CFG P/E =  7.29 P/B =  0.45 Price = 21.28
CFR P/E =  11.87 P/B =  1.13 Price = 68.55
CFX P/E =  86.28 P/B =  1.09 Price = 26.23
CGNX P/E =  56.53 P/B =  8.01 Price = 61.67
CHA P/E =  8.62 P/B =  0.50 Price = 30.73
CHD P/E =  26.98 P/B =  6.27 Price = 71.93
CHDN P/E =  43.90 P/B =  11.21 Price = 122.26
CHE P/E =  34.11 P/B =  11.16 Price = 477.16
CHEF P/E =  50.99 P/B =  1.33 Price = 14.38
CHGG P/E =  - P/B =  17.17 Price = 64.91
CHH P/E =  17.68 P/B =  - Price = 78.39
CHK P/E =  - P/B =  - Price = 13.71
CHL P/E =  9.53 P/B =  0.92 Price = 34.88
CHNG P/E =  10.91 P/B =  7.29 Price = 12.32
CHRW P/E =  21.65 P/B =  6.64 Price = 77.86
CHTR P/E =  62.18 P/B =  3.60 Price = 512.90
CI P/E =  14.52 P/B =  1.55 Price = 189.00
CIEN P/E =  8.30 P/B =  3.72 Price = 52.81
CINF P/E =  178.57 P/B =  1.16 Price = 57.32
CL P/E =  24.11 P/B =  - Price = 70.75
CLDT P/E =  - P/B =  0.41 Price = 6.37
CLF P/E =  4.92 P/B =  1.54 Price = 4.68
CLGX P/E =  38.49 P/B =  4.02 Price = 47.19
CLH P/E =  29.77 P/B =  2.66 Price = 57.45
CLR P/E =  13.05 P/B =  0.80 Price = 14.04
CLX P/E =  29.12 P/B =  35.91 Price = 198.59
CMA P/E =  6.17 P/B =  0.62 Price = 32.65
CMCO P/E =  8.95 P/B =  1.29 Price = 26.33
CMCSA P/E =  15.35 P/B =  2.17 Price = 38.74
CME P/E =  26.85 P/B =  2.41 Price = 178.80
CMG P/E =  88.43 P/B =  17.55 Price = 1055.70
CMI P/E =  11.38 P/B =  3.28 Price = 155.04
CMP P/E =  20.41 P/B =  4.53 Price = 48.30
CMS P/E =  23.21 P/B =  3.14 Price = 55.59
CNC P/E =  32.68 P/B =  1.50 Price = 64.84
CNK P/E =  8.61 P/B =  1.14 Price = 14.04
CNP P/E =  - P/B =  1.62 Price = 16.92
CNXN P/E =  13.14 P/B =  1.82 Price = 41.82
COF P/E =  11.92 P/B =  0.53 Price = 60.21
COG P/E =  16.56 P/B =  3.47 Price = 18.90
COHR P/E =  144.39 P/B =  2.62 Price = 142.95
COLM P/E =  18.12 P/B =  2.73 Price = 69.22
COO P/E =  31.94 P/B =  3.78 Price = 287.42
